,1,2,3,4,5,6,7,8,9,10,Total area for species
Eastern white pine,2002.96,0,3970.35,4787.35,0,0,4370.4,1847.45,5541.77,5872.42,28392.699999999997
Eastern hemlock,2103.15,888.69,0,0,397.61,0,145.27,132.73,0,0,3667.4500000000003
Sugar maple,0,448.63,388.5,0,0,652.96,330.06,99.16,172.03,1241.45,3332.79
Northern red oak,0,0,301.72,2034.45,0,0,0,0,332.86,0,2669.03
Yellow birch,356.33,390.57,0,0,237.79,0,0,0,0,0,984.6899999999999
Green ash,0,0,0,0,770.08,114.99,0,0,0,0,885.07
