,1,2,3,4,5,6,7,8,9,10,No. of points with species,Total for species
Eastern hemlock,1,0,1,1,2,3,1,0,0,1,7,10.0
Paper birch,0,3,1,1,0,0,1,0,0,0,4,6.0
White pine,0,0,0,0,0,0,1,0,2,3,3,6.0
Red maple ,0,0,0,0,1,0,1,1,2,0,4,5.0
American beech,1,0,0,1,0,0,0,2,0,0,3,4.0
Sugar maple,0,0,1,1,0,1,0,1,0,0,4,4.0
Yellow birch,0,0,1,0,1,0,0,0,0,0,2,2.0
Black birch,1,0,0,0,0,0,0,0,0,0,1,1.0
Black oak,1,0,0,0,0,0,0,0,0,0,1,1.0
Green ash,0,1,0,0,0,0,0,0,0,0,1,1.0
