,1,2,3,4,5,6,7,8,9,10,Total area for species
Hemlock,0,0,0,7957.65,3216.99,3117.25,2796.21,2733.97,2206.18,779.31,22807.56
Northern red oak,0,240.53,3230.73,0,0,615.75,0,1963.5,0,0,6050.51
Red maple,672.5,0,1339.65,0,0,1288.25,0,0,314.16,1017.88,4632.44
White spruce,0,0,0,0,1799.35,0,0,0,0,0,1799.35
Sugar maple,0,652.08,0,0,0,0,128.68,512.87,363.05,0,1656.68
American beech ,265.86,0,128.68,0,0,0,0,0,283.53,962.11,1640.1799999999998
Eastern hemlock,0,637.94,0,0,0,0,0,0,0,0,637.94
Paper birch,0,0,0,0,0,0,0,0,0,415.48,415.48
Red spruce,0,0,0,0,0,283.53,0,0,0,0,283.53
