,1,2,3,4,5,6,7,8,9,10,No. of points with species,Total for species
Hemlock,0,0,0,4,1,1,3,1,1,1,7,12.0
Red maple,2,0,1,0,0,1,0,0,1,1,5,6.0
Sugar maple,0,2,0,0,0,0,1,2,1,0,4,6.0
American beech ,2,0,1,0,0,0,0,0,1,1,4,5.0
Northern red oak,0,1,2,0,0,1,0,1,0,0,4,5.0
White spruce,0,0,0,0,3,0,0,0,0,0,1,3.0
Eastern hemlock,0,1,0,0,0,0,0,0,0,0,1,1.0
Paper birch,0,0,0,0,0,0,0,0,0,1,1,1.0
Red spruce,0,0,0,0,0,1,0,0,0,0,1,1.0
