,Relative density,Absolute density,Frequency,Relative frequency,Coverage,Relative coverage,Importance value
American beech ,0.125,0.9088944391638687,0.5,0.12500000000000003,298.15009624555876,0.04108289643712613,0.29108289643712615
Eastern hemlock,0.025,0.18177888783277374,0.1,0.025000000000000005,115.96402370403969,0.015978991911314765,0.06597899191131476
Hemlock,0.3,2.181346653993285,1.2,0.30000000000000004,4145.9328909792575,0.5712791434254416,1.1712791434254417
Northern red oak,0.125,0.9088944391638687,0.5,0.12500000000000003,1099.8549786210758,0.151551949006692,0.401551949006692
Paper birch,0.025,0.18177888783277374,0.1,0.025000000000000005,75.52549231676083,0.010406858888473928,0.06040685888847393
Red maple,0.15,1.0906733269966424,0.6,0.15000000000000002,842.0797911520543,0.11603241886329586,0.4160324188632959
Red spruce,0.025,0.18177888783277374,0.1,0.025000000000000005,51.53976806722633,0.007101802013692627,0.05710180201369263
Sugar maple,0.15,1.0906733269966424,0.6,0.15000000000000002,301.1494478947996,0.04149618509520792,0.34149618509520796
White spruce,0.075,0.5453366634983212,0.3,0.07500000000000001,327.08384182190144,0.04506975435875509,0.19506975435875512
